,0,1,2,3
0,algor,time,cat,output_dir
1,kraken,0.0008276379999996308,1,output/kraken/train/1/1_train_0001485610.txt
2,tesseract,0.0002077400000000118,1,output/tesseract/train/1/1_train_0001485610
3,kraken,0.0005100579999997024,4,output/kraken/train/4/4_train_2084512297_2298.txt
4,tesseract,0.00019029800000014419,4,output/tesseract/train/4/4_train_2084512297_2298
5,kraken,0.0004326050000003079,4,output/kraken/train/4/4_train_87064097.txt
6,tesseract,0.00019149400000006978,4,output/tesseract/train/4/4_train_87064097
7,kraken,0.0005790850000000347,4,output/kraken/train/4/4_train_2047923109.txt
8,tesseract,0.00016386499999976323,4,output/tesseract/train/4/4_train_2047923109
9,kraken,0.0004506250000000378,9,output/kraken/train/9/9_train_2046247413.txt
10,tesseract,0.00020949399999992124,9,output/tesseract/train/9/9_train_2046247413
11,kraken,0.0005942949999999669,10,output/kraken/train/10/10_train_83269888.txt
12,tesseract,0.00019091000000015512,10,output/tesseract/train/10/10_train_83269888
13,kraken,0.0005444570000001647,8,output/kraken/train/8/8_train_2028366295.txt
14,tesseract,0.00018059400000014492,8,output/tesseract/train/8/8_train_2028366295
15,kraken,0.00040097699999996905,0,output/kraken/train/0/0_train_88180678.txt
16,tesseract,0.00017514200000023905,0,output/tesseract/train/0/0_train_88180678
17,kraken,0.0005542130000000256,1,output/kraken/train/1/1_train_2071366279.txt
18,tesseract,0.0001834370000000085,1,output/tesseract/train/1/1_train_2071366279
19,kraken,0.0005715329999995689,1,output/kraken/train/1/1_train_2081660059.txt
20,tesseract,0.00021566599999989222,1,output/tesseract/train/1/1_train_2081660059
21,kraken,0.00046419300000000163,1,output/kraken/train/1/1_train_93118446.txt
22,tesseract,0.0002542299999999109,1,output/tesseract/train/1/1_train_93118446
23,kraken,0.0006155839999997248,11,output/kraken/train/11/11_train_2028702323.txt
24,tesseract,0.000196864999999935,11,output/tesseract/train/11/11_train_2028702323
25,kraken,0.0006093819999999361,9,output/kraken/train/9/9_train_1003537718-c.txt
26,tesseract,0.0002184849999995464,9,output/tesseract/train/9/9_train_1003537718-c
27,kraken,0.0004517910000001457,2,output/kraken/train/2/2_train_2075259394b_9395.txt
28,tesseract,0.0002060390000000467,2,output/tesseract/train/2/2_train_2075259394b_9395
29,kraken,0.0004741169999999961,9,output/kraken/train/9/9_train_tob10702.56.txt
30,tesseract,0.00019505900000016396,9,output/tesseract/train/9/9_train_tob10702.56
31,kraken,0.0005881940000000974,10,output/kraken/train/10/10_train_0000223041.txt
32,tesseract,0.00020643399999986656,10,output/tesseract/train/10/10_train_0000223041
33,kraken,0.0005380719999998895,10,output/kraken/train/10/10_train_1000262920_1000262921.txt
34,tesseract,0.00020482299999979858,10,output/tesseract/train/10/10_train_1000262920_1000262921
35,kraken,0.0004284079999998802,11,output/kraken/train/11/11_train_91655419_5420.txt
36,tesseract,0.0001645579999998148,11,output/tesseract/train/11/11_train_91655419_5420
37,kraken,0.0006113650000001414,9,output/kraken/train/9/9_train_2047301232.txt
38,tesseract,0.000234353000000187,9,output/tesseract/train/9/9_train_2047301232
39,kraken,0.000502931999999845,10,output/kraken/train/10/10_train_0000436949.txt
40,tesseract,0.00019846100000009415,10,output/tesseract/train/10/10_train_0000436949
41,kraken,0.0005090560000002853,4,output/kraken/train/4/4_train_501833340+-3343.txt
42,tesseract,0.00016699000000031106,4,output/tesseract/train/4/4_train_501833340+-3343
43,kraken,0.0005425030000001385,2,output/kraken/train/2/2_train_2505302265.txt
44,tesseract,0.00016275900000017884,2,output/tesseract/train/2/2_train_2505302265
45,kraken,0.00041201699999993124,0,output/kraken/train/0/0_train_501466665+-6665.txt
46,tesseract,0.0002021550000002037,0,output/tesseract/train/0/0_train_501466665+-6665
47,kraken,0.0006159949999999803,10,output/kraken/train/10/10_train_0000004992.txt
48,tesseract,0.00018192400000005549,10,output/tesseract/train/10/10_train_0000004992
49,kraken,0.0005168370000001588,13,output/kraken/train/13/13_train_2041090382_2041090394.txt
50,tesseract,0.00019116600000046446,13,output/tesseract/train/13/13_train_2041090382_2041090394
51,kraken,0.0004815510000000245,15,output/kraken/train/15/15_train_2022195887.txt
52,tesseract,0.0001573760000002089,15,output/tesseract/train/15/15_train_2022195887
53,kraken,0.0005740600000003759,7,output/kraken/train/7/7_train_2057413730_2057413738.txt
54,tesseract,0.00018775300000006823,7,output/tesseract/train/7/7_train_2057413730_2057413738
55,kraken,0.0004698049999998233,2,output/kraken/train/2/2_train_2085764604.txt
56,tesseract,0.00025227699999996744,2,output/tesseract/train/2/2_train_2085764604
57,kraken,0.00045733899999955696,8,output/kraken/train/8/8_train_2023454919.txt
58,tesseract,0.00019470699999990515,8,output/tesseract/train/8/8_train_2023454919
59,kraken,0.0005216639999998662,14,output/kraken/train/14/14_train_50233682-3685.txt
60,tesseract,0.00020957900000029284,14,output/tesseract/train/14/14_train_50233682-3685
61,kraken,0.000572969999999895,0,output/kraken/train/0/0_train_0060169220.txt
62,tesseract,0.00011907400000010782,0,output/tesseract/train/0/0_train_0060169220
63,kraken,0.0005140210000003087,4,output/kraken/train/4/4_train_513563496+-3496.txt
64,tesseract,0.00019675299999999396,4,output/tesseract/train/4/4_train_513563496+-3496
65,kraken,0.00047486299999999204,8,output/kraken/train/8/8_train_0060198004.txt
66,tesseract,0.0001916759999995854,8,output/tesseract/train/8/8_train_0060198004
67,kraken,0.0006562660000000164,9,output/kraken/train/9/9_train_tob12012.58_tob12012.59.txt
68,tesseract,0.000150295000000078,9,output/tesseract/train/9/9_train_tob12012.58_tob12012.59
69,kraken,0.00038367399999961194,7,output/kraken/train/7/7_train_2031322826.txt
70,tesseract,0.00016677200000003722,7,output/tesseract/train/7/7_train_2031322826
71,kraken,0.0005882110000001717,5,output/kraken/train/5/5_train_2505147336.txt
72,tesseract,0.00019293999999980826,5,output/tesseract/train/5/5_train_2505147336
73,kraken,0.00046412500000014845,14,output/kraken/train/14/14_train_50562498-2498.txt
74,tesseract,0.00020759500000000486,14,output/tesseract/train/14/14_train_50562498-2498
75,kraken,0.0005466439999999295,10,output/kraken/train/10/10_train_2040646075.txt
76,tesseract,0.00018176300000005696,10,output/tesseract/train/10/10_train_2040646075
77,kraken,0.0005088959999999254,7,output/kraken/train/7/7_train_2031448341.txt
78,tesseract,0.00014904100000023845,7,output/tesseract/train/7/7_train_2031448341
79,kraken,0.0005277760000002019,0,output/kraken/train/0/0_train_501014613.txt
80,tesseract,0.00020675800000002909,0,output/tesseract/train/0/0_train_501014613
81,kraken,0.0004682510000000306,5,output/kraken/train/5/5_train_89468610.txt
82,tesseract,0.0001993089999996478,5,output/tesseract/train/5/5_train_89468610
83,kraken,0.0005415250000000427,4,output/kraken/train/4/4_train_3000152418.txt
84,tesseract,0.00017095099999986374,4,output/tesseract/train/4/4_train_3000152418
85,kraken,0.00046479800000032157,7,output/kraken/train/7/7_train_2031322492.txt
86,tesseract,0.00022040200000006394,7,output/tesseract/train/7/7_train_2031322492
87,kraken,0.00045764999999997613,14,output/kraken/train/14/14_train_2021001097_2021001098.txt
88,tesseract,0.000297372000000351,14,output/tesseract/train/14/14_train_2021001097_2021001098
